Time_s,Voltage_V
-0.000826000,0.002600
-0.000824000,0.002120
-0.000822000,-0.001200
-0.000820000,0.000510
-0.000818000,-0.001570
-0.000816000,-0.000280
-0.000814000,0.000570
-0.000812000,-0.004350
-0.000810000,0.002040
-0.000808000,0.003340
-0.000806000,0.001940
-0.000804000,-0.003920
-0.000802000,-0.000770
-0.000800000,-0.001150
-0.000798000,0.002730
-0.000796000,0.000230
-0.000794000,0.001410
-0.000792000,-0.002180
-0.000790000,0.001090
-0.000788000,0.003070
-0.000786000,-0.001780
-0.000784000,0.002580
-0.000782000,-0.001200
-0.000780000,0.001250
-0.000778000,0.001120
-0.000776000,0.003140
-0.000774000,0.001190
-0.000772000,-0.000990
-0.000770000,0.000870
-0.000768000,0.001070
-0.000766000,0.001810
-0.000764000,-0.002600
-0.000762000,-0.002330
-0.000760000,0.000560
-0.000758000,0.001360
-0.000756000,-0.000060
-0.000754000,-0.004490
-0.000752000,0.000210
-0.000750000,-0.005450
-0.000748000,0.001510
-0.000746000,0.002220
-0.000744000,-0.000330
-0.000742000,0.002600
-0.000740000,-0.002530
-0.000738000,0.001200
-0.000736000,0.001590
-0.000734000,0.002180
-0.000732000,0.000190
-0.000730000,0.000690
-0.000728000,0.000550
-0.000726000,-0.001790
-0.000724000,-0.003750
-0.000722000,0.001460
-0.000720000,-0.001730
-0.000718000,-0.002880
-0.000716000,0.000040
-0.000714000,0.001560
-0.000712000,0.001580
-0.000710000,0.000620
-0.000708000,0.000230
-0.000706000,0.001950
-0.000704000,-0.001360
-0.000702000,-0.003310
-0.000700000,0.002270
-0.000698000,0.004070
-0.000696000,-0.003560
-0.000694000,-0.000400
-0.000692000,-0.003430
-0.000690000,0.001420
-0.000688000,-0.000030
-0.000686000,0.002590
-0.000684000,0.000780
-0.000682000,-0.000890
-0.000680000,0.000350
-0.000678000,-0.000960
-0.000676000,0.001280
-0.000674000,-0.002510
-0.000672000,-0.000890
-0.000670000,-0.001620
-0.000668000,-0.001150
-0.000666000,-0.000840
-0.000664000,-0.000220
-0.000662000,-0.004200
-0.000660000,-0.002700
-0.000658000,0.003740
-0.000656000,0.002730
-0.000654000,0.001270
-0.000652000,-0.001710
-0.000650000,-0.001590
-0.000648000,0.001120
-0.000646000,0.000030
-0.000644000,0.000170
-0.000642000,0.000810
-0.000640000,-0.003080
-0.000638000,-0.000470
-0.000636000,-0.001870
-0.000634000,-0.000630
-0.000632000,-0.003590
-0.000630000,-0.001040
-0.000628000,0.001810
-0.000626000,-0.000900
-0.000624000,-0.000870
-0.000622000,0.001290
-0.000620000,0.001560
-0.000618000,-0.000480
-0.000616000,0.001900
-0.000614000,0.002340
-0.000612000,-0.000800
-0.000610000,-0.001830
-0.000608000,-0.002380
-0.000606000,0.000270
-0.000604000,0.000200
-0.000602000,-0.000680
-0.000600000,-0.002190
-0.000598000,0.000890
-0.000596000,-0.001250
-0.000594000,0.001710
-0.000592000,-0.002890
-0.000590000,-0.001850
-0.000588000,0.000660
-0.000586000,-0.000220
-0.000584000,-0.000800
-0.000582000,0.001740
-0.000580000,0.000360
-0.000578000,-0.002160
-0.000576000,0.002560
-0.000574000,-0.003310
-0.000572000,-0.001950
-0.000570000,0.003180
-0.000568000,0.004910
-0.000566000,0.000100
-0.000564000,-0.002330
-0.000562000,-0.002610
-0.000560000,0.004520
-0.000558000,-0.002730
-0.000556000,-0.000790
-0.000554000,-0.001010
-0.000552000,-0.001660
-0.000550000,-0.000720
-0.000548000,0.000200
-0.000546000,0.000520
-0.000544000,0.002260
-0.000542000,0.001470
-0.000540000,0.004100
-0.000538000,0.001140
-0.000536000,-0.000890
-0.000534000,0.000580
-0.000532000,-0.002480
-0.000530000,0.000740
-0.000528000,0.004130
-0.000526000,-0.000770
-0.000524000,0.000420
-0.000522000,0.001340
-0.000520000,-0.001360
-0.000518000,-0.001620
-0.000516000,0.001250
-0.000514000,-0.001160
-0.000512000,0.000670
-0.000510000,-0.001810
-0.000508000,-0.001840
-0.000506000,0.000250
-0.000504000,0.001300
-0.000502000,0.002460
-0.000500000,-0.000420
-0.000498000,0.002620
-0.000496000,0.001540
-0.000494000,0.000040
-0.000492000,0.001120
-0.000490000,-0.002290
-0.000488000,0.000280
-0.000486000,-0.002430
-0.000484000,0.002930
-0.000482000,0.000180
-0.000480000,0.002210
-0.000478000,-0.002370
-0.000476000,-0.001730
-0.000474000,-0.001440
-0.000472000,0.002190
-0.000470000,0.001240
-0.000468000,0.002630
-0.000466000,0.002040
-0.000464000,-0.001690
-0.000462000,0.000470
-0.000460000,0.000120
-0.000458000,-0.001310
-0.000456000,0.000360
-0.000454000,0.000630
-0.000452000,0.000880
-0.000450000,-0.001290
-0.000448000,-0.000370
-0.000446000,0.001610
-0.000444000,0.000050
-0.000442000,-0.002780
-0.000440000,-0.000800
-0.000438000,0.001280
-0.000436000,-0.002270
-0.000434000,-0.000610
-0.000432000,0.001820
-0.000430000,0.001490
-0.000428000,-0.000980
-0.000426000,-0.000960
-0.000424000,0.001720
-0.000422000,0.000980
-0.000420000,-0.002370
-0.000418000,-0.000570
-0.000416000,-0.002760
-0.000414000,-0.001850
-0.000412000,-0.001010
-0.000410000,-0.001450
-0.000408000,0.001850
-0.000406000,-0.001410
-0.000404000,0.002720
-0.000402000,-0.001180
-0.000400000,0.000280
-0.000398000,-0.000860
-0.000396000,-0.001150
-0.000394000,0.004000
-0.000392000,0.000130
-0.000390000,-0.001950
-0.000388000,-0.001790
-0.000386000,0.000460
-0.000384000,-0.002140
-0.000382000,0.001130
-0.000380000,-0.001990
-0.000378000,-0.000170
-0.000376000,-0.001250
-0.000374000,-0.002210
-0.000372000,0.004150
-0.000370000,0.003670
-0.000368000,0.000890
-0.000366000,-0.000530
-0.000364000,-0.001810
-0.000362000,0.002180
-0.000360000,-0.000260
-0.000358000,-0.002220
-0.000356000,-0.004420
-0.000354000,-0.000100
-0.000352000,0.006540
